guid,date,user_guid,user_country,product_guid,value,currency
9afbfd9d-f76a-47b9-9e40-2e2ab0b1e94a,2024-01-03 07:18:11,a984297b-e05d-4a20-b36f-d13759bf8b8f,MA,d67cb332-f3d7-4c0a-b40c-975f3e82273f,1865.64,GBP
ffb3e179-c42b-4e24-ae0c-878cf2dba8cd,2024-05-12 20:16:23,79d30453-0fc9-4c47-9622-83da8c7ef568,MX,16bffbe7-f064-4dc7-8ca6-7d0fb7fb19b7,345.02,GBP
f65f2fc8-e6fa-4259-a85a-12d4602eae52,2024-04-10 11:39:05,8ef959c3-4768-4b28-8bce-b2cfb6539d6d,ID,5bdf51f0-d7df-449c-af56-7c2441a867fd,1773.21,GBP
c2308c45-68db-40e1-9bf2-408a6158fcd0,2024-03-01 18:46:42,3f226360-cc4b-435c-93fc-099cbf695466,ID,30fdfc77-2498-44a7-b3de-e5aa2159388f,4700.71,EUR
6442b9f0-b4ad-4967-b845-1185d0d59f15,2024-09-28 05:41:44,d757efac-2f26-4fc0-b694-7f33106d0576,CN,b51b4344-3052-43e0-94f0-86554f5d0abb,3384.02,EUR
962c8379-c946-46eb-a813-bc3d0b96d320,2024-08-04 07:28:36,85c22ed2-69a5-4bf1-b8e2-ab2fca3e6927,CN,b8b52fca-ad1b-4de5-89c0-035b02e40689,124.57,GBP
ab2cf08f-760f-4075-ba10-427e5b11b7ba,2024-02-18 00:10:30,ffb246bc-9187-4dc7-b8da-f218b2130d79,CN,1ba97f88-3d8a-41a0-8d43-e0447ec93608,519.69,DOLLAR
30e618a5-6cb6-4369-8521-9ade596c0fb8,2023-11-07 05:58:01,59cad2fb-eaf2-4a7c-a075-4d9affcff9fe,BR,81aaab79-133e-4412-a00e-13771866c0e2,3936.69,EUR
4542f0ff-085b-4bdb-8775-e1d7c4abc484,2024-04-20 06:28:46,858629b1-c344-414f-a850-a74d294a4874,ID,351e4396-8cb8-4918-a741-4ab7341b5bd6,2936.52,GBP
fe49b213-32f3-4850-9111-0bc9e26ae138,2024-01-13 19:13:04,5287cc6a-8d72-47e7-ae04-bc9a3dd46f30,UZ,9b7fa3da-6dd3-4fbf-ba30-447773f82a7e,2393.69,DOLLAR
a6f84146-1014-4889-90cb-1e8f4cac4cb1,2024-05-07 17:53:22,0e5cbfeb-e5b5-498e-a6c5-9a2c22291cf0,CN,279bf42e-0074-4c6f-a611-1c2008377a81,4452.32,GBP
8a568254-0852-4cbc-9b59-120ff0b38a54,2023-12-09 05:24:18,10ffd193-84c3-4135-a2e7-98165b70fb16,SE,b6940e58-4978-4b72-86d7-2e9c1d16c14e,1978.53,DOLLAR
53859455-6425-4496-a527-3e382097352f,2024-07-15 00:35:36,5c5b0109-59d2-4057-a98f-38a274ae0163,PH,8a7e014e-e335-47f8-bb99-506e61f66100,4636.1,GBP
d7e1d537-49ab-4838-93da-a1df334286e5,2024-06-04 00:19:44,8205b86c-e4c2-4d23-8c5f-84b385f4b2cc,OM,e83e94f2-71e0-41a4-bd3f-511f6b4aaa0a,2386.62,DOLLAR
322ef495-9fc8-419f-8985-9de0c5b90888,2024-07-23 05:36:01,98aaab41-d1d2-434d-ab70-ff4f0dcc4739,PT,210eba6c-a8c2-4b9e-9373-487501b7480d,3189.93,DOLLAR
b5f33a97-2f1f-445f-b630-71437b46da70,2023-11-29 14:43:19,5a8b8609-238d-44a2-bf1d-83353844a3af,SE,37b702ae-d592-4916-afd0-1fe0ea6b31f5,619.87,EUR
48ff783e-ff3e-4ab9-8983-f89279c3e090,2024-02-22 05:24:46,2cf51058-3bbe-4040-9453-8c544e5f7a00,CO,0b3f542e-9f55-4e95-86db-bc5be7888dc7,2100.64,EUR
ff1069c7-c604-4e62-ae2d-6de6a09a98a3,2024-09-08 10:25:12,735fe046-cc12-45fc-9b8f-c4e7b28a1edb,PH,a5c780e8-c9ef-4ff2-a78e-d98b3c0f9e46,1322.44,GBP
bfe18312-67ea-466d-a212-03534a6636e9,2024-09-15 22:54:40,5a453397-7773-4426-986c-b109ee136b2a,SY,241dc711-774a-416c-851b-49ea374caffa,227.5,EUR
755629d4-0b35-4069-afc6-c96bf4238eca,2024-06-19 14:53:28,4855b1b5-1f37-4c20-8a5b-61313b5e86ad,PT,32b9d12a-63bc-48ea-b6a8-3199e56b0553,2723.23,DOLLAR
986833e1-7e29-420c-a88d-b64867ac16be,2024-05-23 11:47:38,3655ece0-6381-47d0-9084-fc01a0fa1d18,PL,88035b90-f1a2-401a-a3ac-0794f2dc74c9,2079.95,EUR
8a6c22b9-bafb-4b1a-861c-c0e248b561b5,2024-03-22 01:09:12,c5fde7d6-b9d9-4b01-ae60-83e3d8c8a657,PH,f8456c3e-28d8-4527-ae89-6a32de268983,1282.18,DOLLAR
